     Galaxy         Finite difference    Spline: 1st derivative        w/ bulge     w/o bulge    Spline: 2nd derivative       w/ bulge      w/o bulge
124  UGC06614               0.307692                0.0542796       0.0542796    -inf                        0.345817       0.345817    -inf
125  UGC06628               0.811679                0.566011     -inf               0.566011                -0.543392    -inf             -0.543392
126  UGC06667               0.785714                0.516201     -inf               0.516201                -0.319141    -inf             -0.319141
127  UGC06786               0.203919               -0.248102       -0.248102     -inf                        0.0033109      0.0033109   -inf
128  UGC06787               0.433524                0.188498        0.188498     -inf                        0.0709167      0.0709167   -inf
129  UGC06917               0.29697                 0.426312     -inf               0.426312                 0.00618989  -inf              0.00618989
130  UGC06923               0.8                     0.586871     -inf               0.586871                -0.0860549   -inf             -0.0860549
131  UGC06930               0.945615                0.918036     -inf               0.918036                -0.170001    -inf             -0.170001
132  UGC06973               0.333333                0.446671        0.446671     -inf                       -0.484551      -0.484551    -inf
133  UGC06983               0.514706                0.546683     -inf               0.546683                 0.841018    -inf              0.841018
134  UGC07089               0.7                     0.545353     -inf               0.545353                -0.1069      -inf             -0.1069
135  UGC07125               0.503497                0.341535     -inf               0.341535                -0.214178    -inf             -0.214178
136  UGC07151               0.878788                0.868123     -inf               0.868123                 0.277567    -inf              0.277567
137  UGC07261               0.0285714               0.161266     -inf               0.161266                 0.315069    -inf              0.315069
138  UGC07323               0.566667                0.501141     -inf               0.501141                -0.129225    -inf             -0.129225
139  UGC07399               0.65                    0.571492     -inf               0.571492                 0.251319    -inf              0.251319
140  UGC07524               0.616754                0.589838     -inf               0.589838                 0.247671    -inf              0.247671
141  UGC07559               0.485714                0.504354     -inf               0.504354                -0.383428    -inf             -0.383428
142  UGC07577              -0.619048               -0.615789     -inf              -0.615789                -0.643253    -inf             -0.643253
143  UGC07603               0.913252                0.855802     -inf               0.855802                 0.418283    -inf              0.418283
144  UGC07608               0.607143                0.298872     -inf               0.298872                -0.267103    -inf             -0.267103
145  UGC07690               0.428571                0.0870925    -inf               0.0870925                0.0913818   -inf              0.0913818
146  UGC07866               0.428571                0.510372     -inf               0.510372                -0.180313    -inf             -0.180313
147  UGC08286               0.741176                0.738571     -inf               0.738571                 0.182484    -inf              0.182484
148  UGC08490               0.569458                0.474009     -inf               0.474009                 0.293555    -inf              0.293555
149  UGC08550               0.466667                0.521027     -inf               0.521027                 0.586041    -inf              0.586041
150  UGC08699               0.384717                0.368735        0.368735     -inf                        0.133539       0.133539    -inf
151  UGC08837               0.178571                0.359099     -inf               0.359099                 0.0644427   -inf              0.0644427
152  UGC09037               0.628571                0.442499     -inf               0.442499                -0.173146    -inf             -0.173146
153  UGC09133              -0.312934                0.279055        0.279055     -inf                        0.211065       0.211065    -inf
154  UGC09992               0.8                     0.725476     -inf               0.725476                -0.606931    -inf             -0.606931
155  UGC10310               0.828571                0.780576     -inf               0.780576                 0.423347    -inf              0.423347
156  UGC11455               0.621752                0.401611     -inf               0.401611                -0.0826944   -inf             -0.0826944
157  UGC11557               0.827273                0.568647     -inf               0.568647                 0.348455    -inf              0.348455
158  UGC11820               0.816667               -0.173525     -inf              -0.173525                -0.268425    -inf             -0.268425
159  UGC11914               0.643713                0.207289        0.207289     -inf                        0.026072       0.026072    -inf
160  UGC12506               0.672009                0.646424     -inf               0.646424                 0.196605    -inf              0.196605
161  UGC12632               0.525275                0.460938     -inf               0.460938                 0.00636597  -inf              0.00636597
162  UGC12732               0.146429                0.135146     -inf               0.135146                -0.23537     -inf             -0.23537
163  UGCA281                1                       0.880813     -inf               0.880813                -0.334294    -inf             -0.334294
164  UGCA442                0.964286                0.908188     -inf               0.908188                 0.262053    -inf              0.262053
165  UGCA444                0.304287                0.318051     -inf               0.318051                 0.177796    -inf              0.177796
